Epoch,Learning_Rate,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time
1,0.0,1.0094146728515625,16.54580078125,0.000270538459066754,0.00033893580077716203,00:20:29
2,6.25e-06,1.00899658203125,16.519921875,0.00021619279884299415,0.0003012714742170281,00:42:11
3,1.25e-05,1.0060760498046875,16.466015625,0.00020131972227052484,0.00029637984291432134,01:02:45
4,1.8750000000000002e-05,1.0027908325195312,16.340625,0.0001980290405848828,0.00028865090286425953,01:25:21
5,2.5e-05,0.9920578002929688,16.0794921875,0.00020330043297401895,0.00031639529711751844,01:46:53
6,3.125e-05,0.958984375,15.31669921875,0.0002343942502058125,0.00023308418863217495,02:07:56
7,3.7500000000000003e-05,0.9277694702148438,14.86123046875,0.00022778331548515844,0.00024666269803246655,02:29:17
8,4.375e-05,0.874969482421875,13.89833984375,0.00021117376219954522,0.0002724314772088008,02:49:14
9,5e-05,0.8010360717773437,12.7765625,0.00016782855395970517,0.00034844819979334204,03:09:54
10,5.6250000000000005e-05,0.7153823852539063,10.94365234375,0.00017514771562989782,0.0003061241545918022,03:30:21
